Database,Acc_number,Suffix,MMC_ID,Name,Restrand_Occurrence_num,Age_Class,Sex,Common_Name,Genus,Species,Strand_Date,Stranding_County,Stranding_City,Stranding_Locality,Stranding_Details,Latitude,Longitude,Admit_Date,Admit_Weight_kg,Admit_Length_cm,Disposition_Date,Disposition,Dispo_Weight_kg,Dispo_Length_cm,CODeath_List,Diagnosis_List
Lloyd,12695,,CSL-12695,Joodle,,Adult,Female,California Sea Lion,Zalophus,californianus,08/19/2015,Santa Cruz,Wastonville,Pajaro Dunes (Sunset State Beach),Off Shearwater Ln. ,36.8550,-121.8230,08/19/2015,89,165,08/19/2015,died in treatment,89,165,domoic acid toxicity (acute),
Lloyd,12696,,CSL-12696,Yorkland,,Adult,Female,California Sea Lion,Zalophus,californianus,08/19/2015,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Just North of mid ramp,35.1121,-120.6331,08/19/2015,85.5,164,09/10/2015,released,84,,,"domoic acid toxicity (acute), malnutrition"
Lloyd,12697,,CSL-12697,Budrank,,Adult,Male,California Sea Lion,Zalophus,californianus,08/19/2015,Santa Cruz,Wastonville,Pajaro Dunes (Sunset State Beach),1/2 mile South of Sunset beach,36.8600,-121.8250,08/19/2015,160.5,211,09/13/2015,euthanasia,,104.5,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Lloyd,12699,,CSL-12699,Taco,,Adult,Female,California Sea Lion,Zalophus,californianus,08/19/2015,San Luis Obispo,Oceano ,Oceano Dunes (Between Post 5 & 6),"at post 6, rangers waiting with animal",35.0610,-120.6370,08/19/2015,77.5,156,08/20/2015,died in treatment,77.5,156,domoic acid toxicity (acute),
Lloyd,12701,,CSL-12701,Patrizio,,Adult,Female,California Sea Lion,Zalophus,californianus,08/20/2015,San Luis Obispo,Oceano ,Pismo State Beach,just north of Grand Ave,35.1311,-120.6402,08/20/2015,87,170,09/04/2015,euthanasia,,,"euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Lloyd,12702,,CSL-12702,Karen,,Adult,Female,California Sea Lion,Zalophus,californianus,08/20/2015,San Luis Obispo,Oceano ,Oceano Dunes (Between 4 & 5),"In front of campsite, near Oso Flaco.  Near blue chevy truck w/ black rack on top",35.0700,-120.6360,08/20/2015,75,,09/11/2015,released,68,147,,domoic acid toxicity (acute)
Lloyd,12703,,CSL-12703,Montiverde,,Adult,Female,California Sea Lion,Zalophus,californianus,08/20/2015,Monterey,Monterey,Del Monte Beach ,Near Casa Verde picnic tables,36.6080,-121.8700,08/20/2015,100,168,09/04/2015,euthanasia,97,68.5,"euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Lloyd,12704,,CSL-12704,Round Three,,Adult,Female,California Sea Lion,Zalophus,californianus,08/20/2015,San Luis Obispo,Oceano ,Oceano Dunes (Post 6),South of post 6,35.0569,-120.6306,08/20/2015,87,160,09/02/2015,euthanasia,74,153,"euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Lloyd,12705,,CSL-12705,Enough,,Adult,Female,California Sea Lion,Zalophus,californianus,08/20/2015,San Luis Obispo,Oceano ,Oceano Dunes (Post 7), In waterline - 2 csl's,35.0486,-120.6313,08/20/2015,80.5,156,09/04/2015,euthanasia,65.5,154,"euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Lloyd,12706,,CSL-12706,That's It,,Adult,Female,California Sea Lion,Zalophus,californianus,08/20/2015,San Luis Obispo,Oceano ,Oceano Dunes (Post 5),"1/4 mile from South end, where motor homes are, by the fox flag",35.0660,-120.6370,08/20/2015,86.5,162,09/05/2015,euthanasia,,167,"euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Lloyd,12707,,CSL-12707,Honeybadger,,Adult,Female,California Sea Lion,Zalophus,californianus,08/21/2015,San Luis Obispo,Oceano Beach,Oceano Dunes Vehicular Recreation Area,near strand way,35.1003,-120.6307,08/21/2015,75,,09/11/2015,released,64.5,,,domoic acid toxicity (acute)
Lloyd,12708,,CSL-12708,Khaleesi,,Adult,Female,California Sea Lion,Zalophus,californianus,08/21/2015,San Luis Obispo,Oceano Beach,Oceano Dunes Vehicular Recreation Area,30 yards South of Strand Way,35.0966,-120.6307,08/21/2015,77,163,09/18/2015,released,77.5,,,"domoic acid toxicity (acute), malnutrition"
Lloyd,12709,,CSL-12709,Squidr,,Adult,Female,California Sea Lion,Zalophus,californianus,08/21/2015,San Luis Obispo,Oceano ,Oceano Dunes (Between Post 6 & 7),between posts 6 & 7,35.0527,-120.6309,08/21/2015,77.5,171,09/02/2015,euthanasia,63.5,159,"euthanasia, domoic acid toxicity (acute)","domoic acid toxicity (acute), malnutrition"
Lloyd,12710,,CSL-12710,Wardle,,Adult,Female,California Sea Lion,Zalophus,californianus,08/22/2015,San Luis Obispo,,Guadalupe-Nipomo Dunes,Oso Flaco,35.0220,-120.6420,08/22/2015,90,175,09/10/2015,released,84.5,175,,"domoic acid toxicity (acute), oil"
Lloyd,12711,,CSL-12711,Samdon (restrand),Restrand,Adult,Male,California Sea Lion,Zalophus,californianus,09/23/2015,Marin,,Muir Beach,just down from parking lot trail,37.8564,-122.5738,09/23/2015,,,09/24/2015,euthanasia,,,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Lloyd,12711,,CSL-12711,Samdon,,Adult,Male,California Sea Lion,Zalophus,californianus,08/22/2015,Monterey,Monterey,Del Monte Beach ,between water fountain and pier,36.6060,-121.8750,08/22/2015,118,118,09/18/2015,released,125.5,118,,"domoic acid toxicity (chronic), domoic acid toxicity (acute)"
Lloyd,12712,,CSL-12712,Clovus,,Adult,Female,California Sea Lion,Zalophus,californianus,08/22/2015,San Luis Obispo,Morro Bay,Morro Strand State Beach - South,"Last traffic light, below row of houses near park",35.4040,-120.8760,08/22/2015,77,171,09/05/2015,euthanasia,,,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Lloyd,12713,,CSL-12713,Susadite,,Adult,Female,California Sea Lion,Zalophus,californianus,08/22/2015,Monterey,Moss Landing,Moss Landing State Beach,Jetty Road. 300 feet to the left of the parking lot,36.8107,-121.7904,08/23/2015,64.5,159,09/09/2015,euthanasia,61,,"euthanasia, domoic acid toxicity (acute)","domoic acid toxicity (acute), malnutrition"
